date,side,price,bull_score,entry_price,entry_date,trade_return
2020-07-29,BUY,11100.4677734375,73.42895991177743,,,
2020-09-09,SELL,10242.34765625,5.0,11100.4677734375,2020-07-29,-0.07730486090333151
2020-10-13,BUY,11425.8994140625,95.0,,,
2021-04-27,SELL,55033.1171875,5.0,11425.8994140625,2020-10-13,3.816523863300217
2021-08-03,BUY,38152.98046875,70.0,,,
2021-09-23,SELL,44895.09765625,5.0,38152.98046875,2021-08-03,0.17671272610071112
2021-10-12,BUY,56041.05859375,73.24699037556668,,,
2021-11-27,SELL,54815.078125,5.0,56041.05859375,2021-10-12,-0.02187646878045819
2022-02-28,BUY,43193.234375,90.31333110583557,,,
2022-03-07,SELL,38062.0390625,5.0,43193.234375,2022-02-28,-0.11879627415607262
2022-03-19,BUY,42190.65234375,95.0,,,
2022-03-24,SELL,43960.93359375,24.319557050656165,42190.65234375,2022-03-19,0.0419590869460032
2022-03-28,BUY,47128.00390625,71.52535602893414,,,
2022-04-22,SELL,39740.3203125,5.0,47128.00390625,2022-03-28,-0.15675782934592447
2022-07-28,BUY,23843.88671875,95.0,,,
2022-08-29,SELL,20297.994140625,5.0,23843.88671875,2022-07-28,-0.14871285960843933
2022-10-31,BUY,20495.7734375,95.0,,,
2022-11-14,SELL,16618.19921875,5.0,20495.7734375,2022-10-31,-0.18918896769494015
2023-01-14,BUY,20976.298828125,72.19972995246043,,,
2023-03-10,SELL,20187.244140625,5.0,20976.298828125,2023-01-14,-0.03761648773052548
2023-03-19,BUY,28038.67578125,91.1868399765916,,,
2023-05-08,SELL,27694.2734375,13.321000261911813,28038.67578125,2023-03-19,-0.01228311730685614
2023-06-26,BUY,30271.130859375,94.65563040400116,,,
2023-08-03,SELL,29178.6796875,11.11414898600928,30271.130859375,2023-06-26,-0.03608887877198901
2023-10-01,BUY,27983.75,95.0,,,
2024-01-24,SELL,40077.07421875,5.0,27983.75,2023-10-01,0.43215524076472955
2024-02-13,BUY,49742.44140625,73.35910025747309,,,
2024-04-19,SELL,63843.5703125,5.0,49742.44140625,2024-02-13,0.28348284699347776
2024-05-25,BUY,69265.9453125,95.0,,,
2024-06-25,SELL,61804.640625,5.0,69265.9453125,2024-05-25,-0.10771966879016237
2024-07-28,BUY,68255.8671875,84.47884753661538,,,
2024-08-14,SELL,58737.26953125,5.0,68255.8671875,2024-07-28,-0.13945464395173904
2024-09-25,BUY,63143.14453125,80.90943096961978,,,
2025-01-08,SELL,95043.5234375,10.607211408921348,63143.14453125,2024-09-25,0.5052073212866722
2025-01-18,BUY,104408.0703125,70.72883799188466,,,
2025-02-16,SELL,96175.03125,9.121638419680082,104408.0703125,2025-01-18,-0.07885443182560496
2025-05-04,BUY,94315.9765625,86.59608826129711,,,
2025-08-25,SELL,110124.3515625,5.0,94315.9765625,2025-05-04,0.16761078638171473
2025-09-29,BUY,114400.3828125,92.21193471904742,,,
2025-10-23,SELL,110069.7265625,5.0,114400.3828125,2025-09-29,-0.03785526012703875
2026-01-08,BUY,91027.125,94.1451904360757,,,
2026-02-02,SELL,78688.765625,5.0,91027.125,2026-01-08,-0.1355459636344661
2026-03-20,BUY,70522.5859375,93.1116509713038,,,
2026-04-06,SELL,68859.828125,15.21538780595769,70522.5859375,2026-03-20,-0.02357766367180018
2026-04-14,BUY,74181.609375,85.08535900108477,,,
2026-05-30,SELL,73754.8359375,5.0,74181.609375,2026-04-14,-0.005753089493415968
2026-07-20,BUY,65230.02734375,95.0,,,
2026-09-14,OPEN_END,78412.5625,79.84392183826674,65230.02734375,2026-07-20,0.20209304967450825
