date,side,price,bull_score,entry_price,entry_date,trade_return
2024-02-11,BUY,48293.91796875,65.00015488356848,,,
2024-04-19,SELL,63843.5703125,5.0,48293.91796875,2024-02-11,0.32197951621593135
2024-05-20,BUY,71448.1953125,65.0,,,
2024-06-25,SELL,61804.640625,5.0,71448.1953125,2024-05-20,-0.1349726839890222
2024-07-28,BUY,68255.8671875,84.47884753661538,,,
2024-08-14,SELL,58737.26953125,5.0,68255.8671875,2024-07-28,-0.13945464395173904
2024-09-25,BUY,63143.14453125,80.90943096961978,,,
2025-01-08,SELL,95043.5234375,10.607211408921348,63143.14453125,2024-09-25,0.5052073212866722
2025-01-17,BUY,104462.0390625,68.65290728860754,,,
2025-02-16,SELL,96175.03125,9.121638419680082,104462.0390625,2025-01-17,-0.0793303279054495
2025-04-28,BUY,94978.75,65.0,,,
2025-08-25,SELL,110124.3515625,5.0,94978.75,2025-04-28,0.15946305423581592
2025-09-28,BUY,112122.640625,67.40498625879135,,,
2025-10-23,SELL,110069.7265625,5.0,112122.640625,2025-09-28,-0.01830954079440635
2026-01-08,BUY,91027.125,94.1451904360757,,,
2026-01-31,SELL,78621.1171875,38.85511966980539,91027.125,2026-01-08,-0.1362891315363415
2026-03-20,BUY,70522.5859375,93.1116509713038,,,
2026-04-06,SELL,68859.828125,15.21538780595769,70522.5859375,2026-03-20,-0.02357766367180018
2026-04-14,BUY,74181.609375,85.08535900108477,,,
2026-05-30,SELL,73754.8359375,5.0,74181.609375,2026-04-14,-0.005753089493415968
2026-07-20,BUY,65230.02734375,95.0,,,
2026-09-14,OPEN_END,78412.5625,79.84392183826674,65230.02734375,2026-07-20,0.20209304967450825
